City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
374,Mazatlán,MX,80.56,few clouds,23.2167,-106.4167,Mona Inn
376,Port Blair,IN,80.64,mist,11.6667,92.75,Andaman Ocean Breeze
381,São Filipe,CV,80.38,clear sky,14.8961,-24.4956,Bela Vista
383,Mareeba,AU,75.92,overcast clouds,-17.0,145.4333,The Gateway Hotel
384,Tevaitoa,PF,80.76,light rain,-16.7833,-151.5,Chambre d'hote
385,San Andrés,CO,86.02,few clouds,12.5847,-81.7006,Hotel Decameron Isleño
388,Del Rio,US,75.31,clear sky,29.3627,-100.8968,La Quinta Inn by Wyndham Del Rio
390,Necochea,AR,75.67,clear sky,-38.5473,-58.7368,Cabañas Río Quequén
393,Tagusao,PH,77.22,overcast clouds,9.1924,117.8141,"Shaman's Breath- Beach, Bed & Breakfast"
398,Ballitoville,ZA,75.34,clear sky,-29.539,31.2144,The Vineyard On Ballito
405,Banda Aceh,ID,75.83,light rain,5.5577,95.3222,Hotel 61
417,Suclayin,PH,75.74,overcast clouds,15.7568,121.5503,Bay-ler View
421,Wajir,KE,83.89,clear sky,1.7471,40.0573,Ngamia Club
423,Morropón,PE,86.92,overcast clouds,-5.1822,-79.9689,Hotel Florida
433,Inhambane,MZ,77.18,overcast clouds,-23.865,35.3833,Hotel de Inhambane
436,Galveston,US,80.71,haze,29.3669,-94.9669,Comfort Inn & Suites Texas City
437,Cape Coast,GH,80.11,scattered clouds,5.1053,-1.2466,Mighty Victory Hotel
442,Honiara,SB,78.39,broken clouds,-9.4333,159.95,King Solomon Hotel
444,Bathsheba,BB,77.61,shower rain,13.2167,-59.5167,Atlantis Hotel
454,Samaná,DO,80.82,few clouds,19.2056,-69.3369,Hotel Cotubanamá
456,Ikot Ekpene,NG,79.36,scattered clouds,5.1794,7.7108,"Four Points by Sheraton, Ikot Ekpene"
478,Port Hedland,AU,78.85,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
