City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Talnakh,RU,69.4865,88.3972,-19.08,97,100,7.25,overcast clouds
80,Kumul,CN,42.8,93.45,22.68,35,100,2.64,overcast clouds
81,Dicabisagan,PH,17.0818,122.4157,77.76,87,96,9.75,light rain
82,Beringovskiy,RU,63.05,179.3167,20.82,74,100,14.9,overcast clouds
83,Cockburn Town,TC,21.4612,-71.1419,76.59,65,6,4.21,clear sky
84,Flic en Flac,MU,-20.2742,57.3631,77.56,75,24,14.29,few clouds
85,Alice Springs,AU,-23.7,133.8833,71.15,24,100,5.75,overcast clouds
86,Cabedelo,BR,-6.9811,-34.8339,83.07,73,19,12.01,few clouds
87,Bonthe,SL,7.5264,-12.505,80.26,79,1,6.98,clear sky
88,Taksimo,RU,56.3444,114.8794,-28.3,90,52,1.34,broken clouds
89,Hobart,AU,-42.8794,147.3294,49.86,92,75,19.57,light intensity shower rain
90,Hede,CN,33.7681,120.2517,30.2,48,37,7.23,scattered clouds
91,Kupang,ID,-10.1667,123.5833,78.82,81,65,5.53,broken clouds
92,Port Elizabeth,ZA,-33.918,25.5701,70.11,97,86,7.0,overcast clouds
93,Pasni,PK,25.2631,63.471,72.27,60,0,9.48,clear sky
94,East London,ZA,-33.0153,27.9116,72.93,91,78,14.88,broken clouds
95,Pozo Colorado,PY,-23.4923,-58.7972,98.65,31,3,10.67,clear sky
96,Hong Kong,HK,22.2855,114.1577,56.25,92,100,15.99,overcast clouds
97,Iqaluit,CA,63.7506,-68.5145,15.53,92,100,6.91,overcast clouds
98,Port Macquarie,AU,-31.4333,152.9167,61.9,74,0,5.03,clear sky
99,Yellowknife,CA,62.456,-114.3525,7.32,85,75,13.8,broken clouds
100,Rosarito,MX,32.3333,-117.0333,59.25,56,57,3.83,broken clouds
101,Acapulco de Juárez,MX,16.8634,-99.8901,84.02,61,20,10.36,few clouds
102,Mahébourg,MU,-20.4081,57.7,77.29,78,40,11.5,scattered clouds
103,Arraial do Cabo,BR,-22.9661,-42.0278,75.06,94,75,26.46,moderate rain
104,Mahajanga,MG,-15.7167,46.3167,80.62,78,20,2.3,moderate rain
105,Catalão,BR,-18.1658,-47.9464,75.69,80,99,7.31,light rain
106,Harper,LR,4.375,-7.7169,79.61,79,2,7.4,clear sky
107,Ipilan,PH,8.8431,117.9033,76.69,84,93,3.18,overcast clouds
108,Bogalusa,US,30.791,-89.8487,77.79,65,75,12.66,broken clouds
109,Tasiilaq,GL,65.6145,-37.6368,21.36,67,1,8.3,clear sky
110,Cherskiy,RU,68.75,161.3,-34.78,99,100,11.74,overcast clouds
111,Córdoba,AR,-31.4135,-64.1811,95.76,14,20,12.66,few clouds
112,San Fernando,PH,15.0286,120.6898,78.53,85,74,5.03,broken clouds
113,Darhan,MN,49.4867,105.9228,-6.3,89,100,2.59,overcast clouds
114,Kahului,US,20.8947,-156.47,78.82,77,40,21.85,scattered clouds
115,Nouadhibou,MR,20.931,-17.0347,75.18,60,0,10.36,clear sky
116,Puerto Ayora,EC,-0.7393,-90.3518,78.76,86,85,5.01,overcast clouds
